country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Congo, Dem. Rep.",220,197,236,377,170,233,254,184,207,259,244,272,292,363,431,447,410,509,616,587,546,464,493,388,270,241,264,243,273,270,270,268,220,276,145,136,135,139,139,103,405,154,175,174,194,218,255,286,328,299,334,387,425,458,487,497,471,467,557,581
"Congo, Rep.",129,145,156,157,165,172,186,195,200,206,207,236,292,374,392,499,477,470,524,694,959,1090,1150,1080,1100,1050,875,1060,992,1040,1190,1120,1180,750,672,782,912,810,660,775,1030,869,917,1030,1330,1840,2160,2270,2900,2350,3080,3560,3920,3880,3750,2460,2070,2190,2580,2280
Costa Rica,381,355,334,344,352,372,393,412,443,475,533,568,637,767,816,936,1120,1390,1560,1730,2020,1070,1030,1210,1370,1430,1570,1570,1560,1730,1830,2240,2600,2830,3020,3250,3200,3380,3580,3650,3770,3940,4020,4130,4390,4650,5200,6070,6860,6760,8140,9120,9910,10500,10500,11300,11700,11800,12100,12200
Cote d'Ivoire,156,170,171,194,226,218,234,238,272,278,285,297,332,429,502,607,694,892,1070,1190,1270,1000,863,748,718,704,889,943,924,848,905,849,870,832,605,775,828,775,809,772,651,665,720,872,923,931,950,1060,1240,1220,1210,1210,1240,1420,1560,1970,2010,2110,2310,2280
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4880,5230,5260,5640,5200,4840,5360,6230,8060,9660,10500,11700,13900,16300,14500,13900,14600,13300,13700,13600,11800,12400,13500,15000,14900
Cuba,,,,,,,,,,,653,780,901,1090,1220,1380,1440,1470,1840,2000,2020,2040,2110,2220,2400,2270,2380,2450,2640,2570,2700,2280,2060,2070,2620,2790,2290,2310,2330,2560,2750,2840,3000,3200,3400,3790,4680,5210,5410,5530,5730,6140,6500,6840,7130,7690,8060,8540,8820,
Cyprus,,,,,,,,,,,,,,,,976,1160,1480,1930,2560,4230,4030,4120,4090,4260,4490,5640,6690,7650,8040,9640,9700,11300,10500,11600,15300,15100,14200,15100,15300,14400,14800,16100,20300,23800,25000,26700,31200,35400,32100,31000,32400,28900,27700,27100,23300,24500,26300,28700,27900
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940,2900,3370,3960,4630,5820,6530,6030,6490,6340,6030,6640,8060,9820,11700,13400,15300,18500,22800,19900,20000,21900,19900,20100,19900,17800,18600,20600,23400,23500
Denmark,,,,,,,2490,2700,2780,3150,3460,3850,4650,6120,6770,8000,8790,9780,11800,13800,13900,12100,11800,11900,11600,12300,17200,21300,22500,21900,26900,27000,29600,27600,30000,35400,35700,32800,33400,33400,30700,30800,33200,40500,46500,48800,52000,58500,64300,58200,58000,61800,58500,61200,62500,53300,54700,57600,61600,60200
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,801,,761,748,726,766,762,777,754,790,790,768,761,756,766,768,781,791,819,863,905,968,1050,1220,1270,1340,1450,1560,2310,2460,2660,2800,2910,3140,3410
Dominica,,,,,,,,,,,,,,,,,,625,769,734,967,1090,1190,1320,1480,1630,1860,2110,2400,2620,2860,3120,3320,3470,3720,3860,4120,4290,4590,4750,4790,4880,4770,4900,5220,5160,5520,5950,6470,6900,6970,7070,6850,7020,7320,7600,8080,7270,7690,8110
Dominican Republic,204,192,234,259,273,229,246,251,254,281,330,360,418,480,583,700,749,848,855,969,1160,1270,1360,1490,1830,780,928,866,783,956,992,1340,1530,1730,1910,2120,2290,2480,2640,2650,2870,2980,3110,2420,2490,3930,4110,4710,5090,5040,5560,5910,6110,6240,6610,6920,7280,7610,8050,8280
