country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tunisia,,,,,,218,224,229,251,260,284,326,423,505,641,765,779,863,985,1160,1370,1290,1210,1200,1160,1150,1200,1260,1280,1250,1490,1550,1800,1660,1740,1980,2110,2210,2290,2390,2210,2250,2340,2760,3110,3190,3370,3780,4310,4130,4140,4260,4150,4220,4310,3860,3700,3480,3440,3320
Turkey,509,284,309,351,370,386,445,482,526,572,490,455,558,686,928,1140,1280,1430,1550,2080,1560,1580,1400,1310,1250,1370,1510,1710,1750,2020,2790,2740,2840,3180,2270,2900,3050,3140,4500,4120,4340,3140,3690,4760,6100,7460,8100,9790,10900,9100,10700,11400,11800,12600,12200,11000,10900,10600,9460,9130
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,862,839,866,847,821,793,622,590,555,563,590,549,643,774,968,1280,1450,1700,2140,2600,3900,4040,4440,5650,6680,7300,7960,6430,6390,6590,6970,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990,1040,1070,1050,1180,1190,1320,1360,1370,1460,1460,1390,1610,1870,2180,2180,2260,2640,2940,2600,3020,3640,3510,3450,3400,3200,3260,3570,3700,4060
Uganda,62.5,63.2,62.2,69.2,76.3,111,112,113,117,128,134,147,150,167,201,220,222,258,207,177,100,104,165,164,257,242,260,402,402,315,248,185,154,168,202,282,287,290,295,261,262,239,246,254,296,334,349,404,475,797,819,829,787,807,880,844,733,747,770,794
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1450,1600,1570,1490,1420,1260,1010,936,873,991,835,636,636,780,879,1050,1370,1830,2300,3070,3890,2540,2970,3570,3860,4030,3100,2120,2190,2640,3100,3660
United Arab Emirates,,,,,,,,,,,,,,,,26800,30100,33800,28500,33500,42800,45000,40000,34800,32300,29700,23500,23700,22300,24000,27700,26600,26400,25600,25800,27200,29000,29500,26900,28500,33300,31300,31600,33500,36300,39400,41900,41800,44500,32000,33900,39200,41000,42400,43800,38700,38100,40600,43800,43100
United Kingdom,1400,1470,1530,1610,1750,1870,1990,2060,1950,2100,2350,2650,3030,3430,3670,4300,4140,4680,5980,7800,10000,9600,9150,8690,8180,8650,10600,13100,16000,16200,19100,19900,20500,18400,19700,23100,24300,26700,28200,28700,28100,27700,30100,34400,40300,42000,44600,50600,47300,38700,39400,42000,42500,43400,47400,45000,41100,40400,43000,42300
United States,3010,3070,3240,3370,3570,3830,4150,4340,4700,5030,5230,5610,6090,6730,7230,7800,8590,9450,10600,11700,12600,14000,14400,15500,17100,18200,19100,20000,21400,22900,23900,24300,25400,26400,27700,28700,30000,31500,32900,34500,36300,37100,38000,39500,41700,44100,46300,48000,48400,47100,48500,49900,51600,53100,55100,56800,58000,60100,63000,65300
Uruguay,489,602,657,584,741,702,664,581,574,717,761,996,776,1400,1450,1250,1290,1440,1710,2480,3490,3760,3110,1720,1620,1570,1940,2420,2680,2730,2990,3580,4080,4720,5460,5990,6320,7330,7710,7250,6880,6280,4090,3620,4120,5230,5890,7030,9090,9450,12000,14200,15200,17000,16800,15600,15400,17300,17300,16200
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651,653,603,597,576,586,601,623,623,702,558,457,383,396,465,547,654,830,1080,1210,1630,1930,2140,2280,2490,2620,2570,1830,1530,1720
Vanuatu,,,,,,,,,,,,,,,,,,,,1060,1050,960,943,945,1140,1010,951,1020,1140,1080,1150,1340,1350,1260,1420,1480,1520,1560,1470,1480,1470,1360,1350,1580,1790,1890,2050,2400,2710,2650,2970,3260,3130,3120,3090,2800,2890,3080,3130,3120
Venezuela,955,970,1020,1080,864,870,876,893,938,931,1010,1110,1160,1370,2040,2080,2310,2590,2740,3270,3890,4250,4230,4110,3560,3580,3400,2630,3220,2270,2480,2660,2940,2860,2720,3530,3150,3760,3920,4130,4840,4990,3700,3270,4330,5500,6830,8450,11400,11800,13800,11000,13000,12500,16100,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,231,423,575,390,94.6,95.2,138,139,182,221,277,324,348,348,363,390,405,430,481,547,687,784,906,1150,1220,1320,1530,1740,1890,2030,2090,2190,2370,2570,2720
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482,482,499,394,291,286,374,428,384,452,554,550,580,620,710,833,921,1020,1230,1120,1330,1370,1450,1610,1670,1600,1140,961,824,774
Zambia,232,220,213,214,242,303,343,360,410,486,437,391,428,491,653,530,537,470,514,588,654,640,638,496,409,330,233,308,489,511,409,410,376,378,412,419,385,448,359,336,346,383,382,435,539,703,1050,1120,1390,1160,1490,1670,1760,1880,1760,1340,1280,1530,1520,1310
Zimbabwe,279,281,277,277,282,293,277,292,299,342,356,398,472,563,654,695,664,650,628,723,901,1040,1070,941,742,635,676,708,793,816,842,809,619,592,612,623,741,732,545,580,563,568,531,478,483,477,448,432,357,772,948,1090,1300,1430,1430,1450,1460,1550,1680,1460
